Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1829.101989798327,OUT049
FDW14,1560.1671249728506,OUT017
NCN55,1873.0908922233953,OUT010
FDQ58,2573.030195203118,OUT017
FDY38,5192.173308548098,OUT027
FDH56,1920.1414590831932,OUT046
FDL48,597.1615521322883,OUT018
FDC48,2767.8806133525177,OUT027
FDN33,1520.8268711338842,OUT045
FDA36,3069.0770393996468,OUT017
FDT44,1999.7922827940288,OUT017
FDQ56,1318.679302027286,OUT045
NCC54,1868.8705282756287,OUT019
FDU11,2059.204871005001,OUT049
DRL59,878.1192774969313,OUT013
FDM24,2555.9177506451615,OUT049
FDI57,3078.5382200445133,OUT045
DRC12,2750.697181189841,OUT018
NCM42,3186.9697683752684,OUT027
FDA46,1152.5451508076317,OUT010
FDA31,2811.926794069628,OUT013
NCJ31,3905.853421871223,OUT035
FDG52,798.137077005111,OUT046
NCL19,342.0251454795434,OUT019
FDS10,3010.3599781381586,OUT035
FDX22,1440.2656832221196,OUT010
NCF19,914.7782958700036,OUT035
NCE06,2542.804039651631,OUT046
DRC27,3845.260955487649,OUT046
FDE21,2013.643058654735,OUT035
NCR42,-1373.096298054123,OUT019
FDX51,2853.4872477800477,OUT018
NCR06,412.1821096811283,OUT018
FDU31,4935.328562889753,OUT027
FDU59,2717.37213499604,OUT017
FDR03,4738.515457849882,OUT027
FDS49,2757.358524942797,OUT027
FDD48,-87.1804109708242,OUT010
NCF18,3121.3714165812376,OUT017
NCD43,3088.9689251916334,OUT027
NCD54,1980.60996194871,OUT018
FDY19,-49.05312031411364,OUT010
NCY54,2841.5470844384668,OUT017
NCL19,2005.1549277724966,OUT018
FDP23,1519.6719154503157,OUT010
FDC26,1833.647630321304,OUT013
FDR14,-991.7359969055638,OUT010
NCS41,3025.613335097238,OUT035
FDF41,4061.8912205967026,OUT035
FDU34,1997.377372265763,OUT046
DRH11,928.5751624245647,OUT046
FDM03,1747.3845330778713,OUT013
FDS31,3016.793600446615,OUT017
FDJ20,2101.530680774498,OUT017
FDV44,4483.690548432904,OUT027
FDG02,3092.682142285931,OUT049
FDA09,2985.656949020845,OUT013
FDT04,683.0325643637366,OUT013
FDL58,2291.114785154078,OUT019
FDE52,1432.1071525131706,OUT045
FDW12,2496.2212316564587,OUT035
FDL51,3542.7988170958765,OUT017
NCY42,3679.4398368407974,OUT027
FDR07,1663.1133456312841,OUT017
FDN40,2366.0671386599283,OUT045
FDB35,2953.6166550522776,OUT027
FDA22,2741.087425702696,OUT017
NCL06,4114.11129874343,OUT046
FDI35,2906.803494797995,OUT013
NCW42,3408.7506350671943,OUT045
NCX06,2927.8895955949874,OUT049
FDC37,3190.1517305639127,OUT027
FDZ14,1725.047721201037,OUT018
DRG49,3953.972898442671,OUT049
NCG06,3947.8145719355016,OUT045
DRC36,2714.4109153928903,OUT045
FDV21,97.88845718407401,OUT019
